,gas,diesel,electric,GPL,hybrid,CNG
,fuel_type,fuel_type,fuel_type,fuel_type,fuel_type,fuel_type
year,,,,,,
2007,0.4503119429590018,0.5326797385620915,7.427213309566251e-05,0.01218062982768865,0.0008169934640522876,0.003936423054070113
2008,0.4806225680933852,0.5034241245136187,7.782101167315176e-05,0.012217898832684825,0.0005447470817120623,0.0031128404669260703
2009,0.5824149874055415,0.40656486146095716,0.00015743073047858942,0.007163098236775818,0.0013381612090680101,0.0023614609571788415
2010,0.4915994949985433,0.49995144216762166,0.0,0.004273089249295911,0.002233660289404681,0.0019423132951345051
2011,0.44341175331590665,0.5491335075999613,0.00038725917320166524,0.0034853325588149867,0.002226740245909575,0.0013554071062058283
2012,0.4745450073782587,0.515002459419577,0.0015986227250368913,0.005041810132808657,0.003074274471224791,0.0007378258730939498
2013,0.5164589920029756,0.4707085735540264,0.0009298865538404315,0.002603682350753208,0.005393342012274502,0.003905523526129812
2014,0.5125890736342043,0.4781472684085511,0.0019002375296912114,0.00166270783847981,0.0035629453681710215,0.0021377672209026127
2015,0.5479285134037368,0.4435418359057677,0.0012185215272136475,0.0008123476848090983,0.0036555645816409425,0.002843216896831844
2016,0.6721854304635762,0.3079470198675497,0.009933774834437087,0.0,0.009933774834437087,0.0
